"job_id","company_name","job_title","job_location","job_schedule_type","salary_year_avg","job_posted_date"
168310,"Newforce Global Services USA Inc.","Principal Data Analyst (Remote)","Anywhere","Full-time","205000.0","2023-08-09 11:00:01"
485388,"SME Water","System Data Analyst","Anywhere","","157500.0","2023-07-17 18:00:47"
565646,"Werover","Staff Business Data Analyst (Remote U.S. OK)","Anywhere","Full-time","152625.0","2023-03-07 07:01:47"
350382,"Sorare","Lead I - Power BI Data Analyst","Anywhere","Full-time","138000.0","2023-10-13 10:01:14"
262837,"Portas Consulting","Quantitative Scientist (Remote)","Anywhere","Full-time","132500.0","2023-01-28 08:04:56"
92703,"Kaffee Partner","Sr. Data Analyst","Anywhere","Full-time","130000.0","2023-09-19 13:01:02"
16358,"Work corp","BI Data Analyst IV","Anywhere","Full-time","115791.5","2023-01-06 16:01:23"
357990,"Title Resources","Data Analyst","Anywhere","Full-time","115000.0","2023-01-19 17:00:07"
467403,"Mattel, Inc.","Healthcare Analytics Expert","Anywhere","Full-time","114948.0","2023-08-13 19:01:28"
71065,"Razorfish logo","Data Analyst Remote / Telecommute Jobs","Anywhere","Full-time","112500.0","2023-11-21 21:00:05"
1728,"ROCKEN","Data Engineer/Data Analyst","Anywhere","Full-time","112500.0","2023-05-24 19:08:14"
65900,"Tek Tron IT","Data and Process Modeling Analyst","Anywhere","Full-time","107500.0","2023-12-30 13:59:59"
255533,"Skillfinder GmbH","IT Data Analyst - Remote | WFH","Anywhere","Full-time","107500.0","2023-10-06 14:59:57"
55833,"BC Forward","Data Governance Analyst II - Frameworks, Standards, & Policies","Anywhere","Full-time","106479.0","2023-08-03 11:02:09"
228239,"TekWissen India","Data Analyst II - Firm Analytics","Anywhere","Full-time","106479.0","2023-11-15 08:02:28"
4420,"New York Technology Partners","Senior System/Data Analyst","Anywhere","Full-time","102000.0","2023-11-04 09:00:13"
1440,"AddSource","Data Analyst - Empowering Insights for a Healthier Future","Anywhere","Full-time","101500.0","2023-07-15 09:01:03"
309300,"Eaton Technologies Pvt Ltd","Business Data Analyst","Anywhere","Full-time","100000.0","2023-05-15 16:00:39"
524146,"C-More Sustainability, Lda","Data Analyst","Anywhere","Full-time","100000.0","2023-02-23 18:01:48"
